date,title,description,source,url,sentiment_polarity,sentiment_subjectivity
2025-12-09,Mehul Choksi's Appeal Against India's Extradition Request Rejected By Belgium Supreme Court,"Belgium's supreme court on Tuesday rejected the appeal of fugitive diamond trader Mehul Choksi challenging the extradition request of India in connection with the Rs 13,000-crore alleged bank fraud in Punjab National Bank, authorities in that country said. Choksi, who escaped to Antigua and Barbuda in January 2018, days before the scam was detected, was spotted in Belgium, where he had purportedly sought treatment. India had sent an extradition request to Belgium on August 27, 2024",NDTV Profit,https://www.ndtvprofit.com/law-and-policy/pnb-scam-mehul-choksi-appeal-against-india-extradition-request-rejected-by-belgium-supreme-court,0.2,0.55
2025-12-09,"Belgium Supreme Court clears Mehul Choksi’s extradition to India in Rs 13,850-crore PNB scam","The Antwerp court earlier ruled that Choksi, key accused in the Rs 13,850-crore PNB scam, faces “no risk” of unfair trial or ill-treatment if extradited to Indi",The New Indian Express,https://www.newindianexpress.com/nation/2025/Dec/09/belgium-supreme-court-clears-mehul-choksis-extradition-to-india-in-rs-13850-crore-pnb-scam,-0.16666666666666666,0.8333333333333334
2025-12-09,PNB bank scam: Belgium court rejects Mehul Choksi's appeal; extradition process to India 'to begin soon',"India Business News: Belgium's Supreme Court has rejected Mehul Choksi's final appeal, allowing his extradition to India to proceed. The Antwerp Court of Appeal's earlier",Times of India,https://timesofindia.indiatimes.com/business/india-business/pnb-bank-scam-belgium-court-rejects-mehul-choksis-appeal-extradition-process-to-india-to-begin-soon/articleshow/125874469.cms,0.0,0.75
2025-12-09,Belgium Supreme Court rejects Mehul Choksi's appeal against extradition to India,"The Court of Appeals had ruled that Mehul Choksi, the main accused in a Rs-13,000 crore PNB scam, faces 'no risk' of being denied a fair trial or subjected to ill-treatment if he is extradited to India.",India TV News,https://www.indiatvnews.com/news/world/belgium-supreme-court-rejects-mehul-choksi-appeal-against-extradition-to-india-2025-12-09-1020988,0.4333333333333333,0.6166666666666667
2025-12-09,Belgium's Top Court Clears Path for Mehul Choksi's Extradition,"Belgium's Court of Cassation has dismissed the appeal of Mehul Choksi, clearing the way for his extradition to India over the Rs 13,000-crore PNB scam. The Antwerp Court of Appeal supported India's request, confirming that Choksi faces no risk of unfair trial or mistreatment in India.",Devdiscourse,https://www.devdiscourse.com/article/law-order/3725226-belgiums-top-court-clears-path-for-mehul-choksis-extradition,0.0,0.75
2025-12-09,Mehul Choksi's appeal against extradition rejected by Belgium's supreme court,"New Delhi, Dec 9 (PTI) Belgium’s supreme court — the Court of Cassation — on Tuesday rejected the appeal of fugitive diamond trader Mehul Choksi challenging his extradition to India in connection with the alleged Rs 13000 crore fraud in Punjab National Bank, authorities in that country said. Responding to PTI, Spokesperson for Court of […]",ThePrint,https://theprint.in/india/mehul-choksis-appeal-against-extradition-rejected-by-belgiums-supreme-court/2802219/,0.1787878787878788,0.5181818181818182
2025-12-09,Belgium's Top Court Again Rejects Mehul Choksi's Appeal Against Extradition,"Belgium’s Court of Cassation dismisses Mehul Choksi’s appeal, confirming his extradition to India over a Rs 13,000 crore PNB fraud case.",Republic World,https://www.republicworld.com/world-news/mehul-choksi-extradition-rejected-belgium-supreme-court,0.5,0.5
2025-12-09,Belgium Court Upholds Extradition of Fugitive Trader Mehul Choksi,"Belgium's Court of Cassation has denied the appeal of diamond trader Mehul Choksi against his extradition to India for an alleged Rs 13,000 crore fraud case involving Punjab National Bank. The decision confirms the Court of Appeal's ruling that supports India's extradition request.",Devdiscourse,https://www.devdiscourse.com/article/law-order/3725198-belgium-court-upholds-extradition-of-fugitive-trader-mehul-choksi,-0.1,0.1
2025-12-09,Caught On CCTV: Thieves In Burqa Uproot PNB ATM & Take It Away In UP’s Moradabad; Arrested,"Robbers in burqas uprooted a PNB ATM in Moradabad on 25 November and fled with it, later dumping the machine in Amroha after taking the cash. Five accused, linked to mastermind Niyamat alias Ghoda, were arrested, two after an encounter. Police traced them using footage from around 1,000 CCTV cameras.",Free Press Journal,https://www.freepressjournal.in/india/caught-on-cctv-thieves-in-burqa-uproot-pnb-atm-take-it-away-in-ups-moradabad-arrested,0.0,0.0
2025-12-09,"Indian Bank, PNB, Canara Bank and other PSU banks fell up to 12% from recent highs as sell-off intensifies","State-owned banks like Indian Bank, Punjab National Bank, and Canara Bank saw modest gains on December 9 after a significant selloff. Despite this, many banks remain down from recent highs, following the government's clarification on FDI limits in public sector banks.",Livemint,https://www.livemint.com/market/stock-market-news/indian-bank-pnb-canara-bank-and-other-psu-banks-fell-up-to-12-from-recent-highs-as-sell-off-intensifies-11765260502919.html,0.07716049382716049,0.4006172839506173
